Relation	Infected	Maternal_Separation	Gender			
2	Infected	No_Maternal_Separation	Female			
1	Infected	No_Maternal_Separation	Female			
5	Infected	No_Maternal_Separation	Female			
1	Infected	No_Maternal_Separation	Female			
0	Infected	No_Maternal_Separation	Female			
1	Infected	No_Maternal_Separation	Female			
3	Infected	No_Maternal_Separation	Female			
3	Infected	No_Maternal_Separation	Female			
5	Infected	No_Maternal_Separation	Female			
5	Infected	No_Maternal_Separation	Female			
1	Infected	No_Maternal_Separation	Female			
2	Infected	No_Maternal_Separation	Female			
8	Infected	No_Maternal_Separation	Female			
2	Infected	No_Maternal_Separation	Female			
4	Infected	No_Maternal_Separation	Female			
1	Infected	No_Maternal_Separation	Female			
1	Infected	No_Maternal_Separation	Female			
5	Infected	No_Maternal_Separation	Female			
5	Infected	No_Maternal_Separation	Female			
3	Infected	No_Maternal_Separation	Female			
3	Infected	No_Maternal_Separation	Female			
0	Infected	No_Maternal_Separation	Female			
2	Infected	No_Maternal_Separation	Male			
2	Infected	No_Maternal_Separation	Male			
3	Infected	No_Maternal_Separation	Male			
2	Infected	No_Maternal_Separation	Male			
6	Infected	No_Maternal_Separation	Male			
3	Infected	No_Maternal_Separation	Male			
3	Infected	No_Maternal_Separation	Male			
3	Infected	No_Maternal_Separation	Male			
5	Infected	No_Maternal_Separation	Male			
3	Infected	No_Maternal_Separation	Male			
4	Infected	No_Maternal_Separation	Male			
1	Infected	No_Maternal_Separation	Male			
2	Infected	No_Maternal_Separation	Male			
5	Infected	No_Maternal_Separation	Male			
3	Infected	No_Maternal_Separation	Male			
4	Infected	No_Maternal_Separation	Male			
4	Infected	No_Maternal_Separation	Male			
2	Infected	No_Maternal_Separation	Male			
3	Infected	No_Maternal_Separation	Male			
1	Infected	No_Maternal_Separation	Male			
4	Infected	No_Maternal_Separation	Male			
3	Infected	No_Maternal_Separation	Male			
3	Infected	No_Maternal_Separation	Male			
2	Infected	No_Maternal_Separation	Male			
1	Infected	No_Maternal_Separation	Male			
2	Non_Infected	No_Maternal_Separation	Female			
0	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
4	Non_Infected	No_Maternal_Separation	Female			
3	Non_Infected	No_Maternal_Separation	Female			
3	Non_Infected	No_Maternal_Separation	Female			
4	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
2	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
3	Non_Infected	No_Maternal_Separation	Female			
2	Non_Infected	No_Maternal_Separation	Female			
3	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
2	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
2	Non_Infected	No_Maternal_Separation	Female			
0	Non_Infected	No_Maternal_Separation	Female			
0	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
1	Non_Infected	No_Maternal_Separation	Female			
2	Non_Infected	No_Maternal_Separation	Male			
1	Non_Infected	No_Maternal_Separation	Male			
2	Non_Infected	No_Maternal_Separation	Male			
1	Non_Infected	No_Maternal_Separation	Male			
2	Non_Infected	No_Maternal_Separation	Male			
1	Non_Infected	No_Maternal_Separation	Male			
0	Non_Infected	No_Maternal_Separation	Male			
1	Non_Infected	No_Maternal_Separation	Male			
3	Non_Infected	No_Maternal_Separation	Male			
1	Non_Infected	No_Maternal_Separation	Male			
3	Non_Infected	No_Maternal_Separation	Male			
3	Non_Infected	No_Maternal_Separation	Male			
2	Non_Infected	No_Maternal_Separation	Male			
2	Non_Infected	No_Maternal_Separation	Male			
1	Non_Infected	No_Maternal_Separation	Male			
